Frame;TimeStamp;Value
0;0.017025;0.0
1;0.017075;0.0
2;0.057462;0.0
3;0.097926;0.0
4;0.135533;0.0
5;0.174899;0.0
6;0.216467;0.0
7;0.259196;0.0
8;0.295984;0.0
9;0.334117;0.0
10;0.37691;0.0
11;0.419419;0.0
12;0.45627;0.0
13;0.494134;0.0
14;0.536135;0.0
15;0.579923;0.0
16;0.615674;0.0
17;0.653792;0.0
18;0.696772;0.0
19;0.739592;0.0
20;0.77609;0.0
21;0.813689;0.0
22;0.856916;4.17164409619925e-06
23;0.899216;7.995651184381896e-06
24;0.936436;1.1513737705509931e-05
25;0.974746;1.4761202186551194e-05
26;1.016852;1.7768113743070884e-05
27;1.058692;2.056024590269631e-05
28;1.095522;2.3159817223726878e-05
29;1.134672;2.5586083790022076e-05
30;1.176988;-6.477690544872151e-05
31;1.220271;-0.00014949220786004364
32;1.255336;-0.00022907324951916444
33;1.293842;-0.00027518393603410924
34;1.336821;-0.0003186597261767715
35;1.379243;-0.0003597201946448414
36;1.415768;-0.00039856117833085336
37;1.454007;-0.0004353578997176017
38;1.496854;-0.00047026760975118326
39;1.539005;-0.0005034318342830857
40;1.575545;-0.0005349782917646515
41;1.613736;-0.0005650225369851903
42;1.657151;-0.0005936693754512855
43;1.699172;-0.0006210140848961946
44;1.736907;-0.0006471434739213299
45;1.774678;-0.000672136802554068
46;1.816425;-0.0006960665852875406
47;1.858832;-0.0007189992937404519
48;1.895302;-0.0007409959732769178
49;1.934041;-0.0007238245936742769
50;1.976161;-0.0005571768291241
51;2.018822;-0.0003325113478971183
52;2.055942;-0.00011632380935794719
53;2.093768;9.185678330940273e-05
54;2.136885;0.0002924671726070308
55;2.179181;0.00048591290514402925
56;2.215962;0.0006725710681183259
57;2.254101;0.0008527927427141987
58;2.297032;0.0010269052080017365
59;2.339535;0.0011952139244463566
60;2.376355;0.0013580043223190218
61;2.413563;0.0015155434170345042
62;2.457344;0.0016680812706479078
63;2.499711;0.0018158523163358923
64;2.535411;0.001959076560618093
65;2.574656;0.0020979606762856814
66;2.616734;0.00223269899745573
67;2.660258;0.002363474426826659
68;2.695492;0.0024904592640419094
69;2.734754;0.0026411646715921865
70;2.77695;0.0028348110084550505
71;2.819793;0.0031303227748634547
72;2.855093;0.003412480914016145
73;2.893559;0.0036870131575160604
74;2.936735;0.003954224541189311
75;2.97964;0.004214404046344846
76;3.015006;0.004467825642275562
77;3.053747;0.004727021104963709
78;3.100663;0.005003887690088644
79;3.13939;0.005285797670572219
80;3.175501;0.005560746910796941
81;3.214035;0.005829380103756884
82;3.256263;0.00609154020772984
83;3.300043;0.006365699002046899
84;3.335982;0.006708258706442314
85;3.373497;0.0070428519060843475
86;3.417174;0.007369753308033462
87;3.459884;0.007717032802880997
88;3.495655;0.008067506353929528
89;3.534307;0.008438802774931533
90;3.576609;0.008825911782464594
91;3.619285;0.009262299689610648
92;3.655134;0.009710004224497687
93;3.695057;0.01019400676497474
94;3.73635;0.010687971458261565
95;3.779676;0.011191586987082856
96;3.815705;0.011689752735922994
97;3.853339;0.012177751836827618
98;3.901415;0.01267522984072288
99;3.939499;0.013196260452503179
100;3.976424;0.013788172798396026
101;4.014254;0.014448564103976895
102;4.057169;0.015208071189765705
103;4.100279;0.01603632723709778
104;4.135311;0.016909195262124976
105;4.174685;0.01786204362564244
106;4.216498;0.018977514308754374
107;4.259243;0.020232963543479747
108;4.29613;0.02171424042765963
109;4.334309;0.0232999975989545
110;4.376306;0.024952625166859203
111;4.419194;0.026661206242385358
112;4.45585;0.028394607397929792
113;4.495353;0.030269726940028663
114;4.537472;0.032141368027450115
115;4.57891;0.03410104252507892
116;4.616005;0.03616777799815973
117;4.653678;0.03829405381522493
118;4.696523;0.040433583228341285
119;4.738878;0.04256963095944511
120;4.776059;0.044733658384179684
121;4.8146;0.046948692555894
122;4.856456;0.04920570725475161
123;4.900986;0.051577893045040624
124;4.936023;0.05395398137152671
125;4.973459;0.05635261403262098
126;5.016362;0.05873985261083418
127;5.059533;0.0610897905862628
128;5.095886;0.06345152666434462
129;5.134533;0.06581742546733421
130;5.176988;0.06821296583967107
131;5.219875;0.07061662050449663
132;5.256392;0.07311660321833614
133;5.293673;0.07569249562950303
134;5.336976;0.07837491814899628
135;5.379583;0.08112585246874518
136;5.415947;0.08414742354757726
137;5.453834;0.08764653710629151
138;5.496969;0.0920217793123821
139;5.538964;0.09670873028145523
140;5.575608;0.10142307564505491
141;5.613346;0.1061253551603574
142;5.656562;0.1107734779035284
143;5.698827;0.11535926440059546
144;5.735327;0.11988356322761953
145;5.77336;0.124345885358383
146;5.816145;0.12874858346712034
147;5.859144;0.13309286614887264
148;5.895687;0.13737883631140677
149;5.93384;0.14160808663983693
150;5.976196;0.14578174401828445
151;6.019645;0.14990132649977175
152;6.055888;0.1539670582298671
153;6.094314;0.15797998824918197
154;6.136995;0.16194113852631215
155;6.179552;0.16585150482553038
156;6.21511;0.1697120575413191
157;6.254599;0.17352374250121175
158;6.297114;0.17728748173833847
159;6.339002;0.1810041742350011
160;6.375688;0.18463213881281643
161;6.413775;0.18813978669896247
162;6.457419;0.19151131703515858
163;6.499581;0.1947671252032621
